query_id,query,short_answer,generated_answer,llm_judge_a,annotator_1,annotator_2
peE569AM64P7,what is the point of an amazon echo dot,"['designed to be connected to external speakers due to size of the onboard speakers, or to be used in rooms such as the bedroom as an alternative to the full-sized Echo']","The primary point of an Amazon Echo Dot is to provide a compact and affordable version of the Amazon Echo smart speaker. It is designed to be connected to external speakers or used in rooms where the original Echo's size may not be suitable. The Echo Dot has the same functions as the original Echo, including voice interaction, music",1,,
6cMFY1k9RzLR,who played the mom on lost in space,['June Lockhart'],"June Lockhart played the role of Dr. Maureen Robinson, the mother of the Robinson family, on the CBS television series Lost in Space",1,,
3WiXVGDcPaRK,what is the meaning of black history month,['a way for remembering important people and events in the history of the African diaspora'],"Black History Month, also known as African-American History Month in the U.S., is an annual observance in Canada, the United Kingdom, and the United States. It began as a way for remembering important people and events in the history of the African diaspora. The precursor to Black History Month was created in 1",1,,
AKoUU0cQkFv7,who wrote the happy birthday to you tune,['Patty and Mildred J. Hill'],"The Happy Birthday to You tune was likely written by the Hill sisters, Patty and Mildred J. Hill. They published the song ""Good Morning to All"" in their songbook Song Stories for the Kindergarten in 1893. The song's melody has been disputed, with some claiming it was copied from",1,,
mgxM0QWG7Tuf,who played adam in bonanza and where is he,"['Pernell Elven Roberts, Jr.']","Pernell Elven Roberts, Jr. played the role of Adam Cartwright in Bonanza. He is best known for his role as Adam Cartwright, the eldest son of Ben Cartwright, in the Western television series Bonanza",1,,
BIxJh6aYZvzQ,who sang i can't help falling in love with you first,['Elvis Presley'],"Elvis Presley first sang ""I Can't Help Falling in Love with You"" in 1962",1,,
AlXvpEOd12tU,who played the father in father of the bride,['Steve Martin'],"The father in ""Father of the Bride"" is played by Steve Martin",1,,
fIqfP7TCairk,what do you mean by clipping in computer graphics,['a method to selectively enable or disable rendering operations within a defined region of interest'],"In computer graphics, clipping refers to the process of selectively enabling or disabling rendering operations within a defined region of interest. This region is typically a rectangular shape, but it can also be a more complex shape, such as a sphere or a cube. The clipping process involves removing any parts of the scene model that fall outside the",1,,
d7pCGcyjbWTZ,which province of canada has a large french population,['Quebec'],"The province of Quebec in Canada has a large French population. According to the information provided, about 77% of Quebec's population are native francophones, and 95% of the population speak French as their first or second language",1,,
jZFSqycqhYyL,who controls the monetary policy in the united states,['the Federal Reserve'],"The Federal Reserve System, commonly referred to as the Federal Reserve, controls the monetary policy in the United States. As a quasi-public institution, the Federal Reserve is responsible for implementing monetary policy, primarily by performing operations that influence short-term interest rates",1,,
sexo8cU2CVYh,world's first steamship driven by a screw propeller,['SS Archimedes'],"SS Archimedes, built in Britain in 1839, is the world's first steamship driven by a screw propeller",1,,
WqHmx8i3bvUs,who sang the original killing me softly with his song,['Lori Lieberman'],"The original ""Killing Me Softly with His Song"" was sung by Lori Lieberman",1,,
gIfHkVIs4jQn,where can nonmetals be found on the periodic table,['dividing line between metals and nonmetals'],"Nonmetals can be found on the periodic table in the right-hand side of the dividing line, which is also known as the metalloid line or the semimetal line. This line separates the metals from the nonmetals. The elements to the lower left of this line generally display increasing metallic behavior, while",1,,
ydnGNfUKKHP9,what methods are used to measure the activity of an enzyme,['Enzyme assays'],"There are several methods used to measure the activity of an enzyme, including:",1,,
SvGbcZdLIcMl,when did the soviets declared war on japan,"['August 9, 1945']","The Soviets declared war on Japan on August 8, 1945, just before midnight",0,,
JmWYiztfhNuG,where is the young and the restless taped,"['CBS Television City, studios 41 and 43 in Hollywood']","The Young and the Restless was originally taped at CBS Television City, studios 41 and 43 in Hollywood, since its debut on March 26, 1973",1,,
SOGrKcmTQ7xg,when did canada stop using 2 dollar bills,['1996'],"The Bank of Canada stopped printing the $2 note in 1996, with the release of the toonie (a coin that replaced it)",1,,
D0W5DPcWq4qw,what is the meaning of radius of gyration,"['the radial distance of a point from the axis of rotation at which, if whole mass of the body is assumed to be concentrated, its moment of inertia about the given axis would be the same as with its actual distribution of mass']","The radius of gyration is a measure of the distribution of mass within an object or a polymer chain. It is defined as the distance from the axis of rotation at which the entire mass of the object or chain could be concentrated without changing its moment of inertia. In simpler terms, it is the distance from the axis of",1,,
9vlDB8PI8kN1,who played bass on oh what a night,['Don Ciccone'],"Don Ciccone played bass on ""December, 1963 (Oh, What a Night)"" by the Four Seasons",1,,
iq61VUOTuAep,who plays severide's parents on chicago fire,['Benny Severide (Treat Williams)Jennifer Sheridan (Kim Delaney)'],"The character of Kelly Severide's parents on Chicago Fire is portrayed by Treat Williams and Kim Delaney. Treat Williams plays the role of CFD Captain Benny Severide, while Kim Delaney plays Jennifer Sheridan, Kelly's mother",1,,
YmSegYlhCVSj,when did suit life on deck come out,"['September 26, 2008']","The Suite Life on Deck premiered in the United States on September 26, 2008, on Disney Channel",1,,
n2kE7faCAvcw,where does the publishers clearing house get their money,"['sells merchandise, magazine subscriptions and operates several prize-based websites']","The Publishers Clearing House (PCH) gets its money primarily from selling magazine subscriptions at a discount and advertising subscriptions along with its sweepstakes. The company also sells merchandise, such as books, media, jewelry, and other consumer items. Additionally, PCH operates eight websites, including PCH Search and Win, P",1,,
SzNM3QmGp3NR,who wins the tennis match in battle of the sexes,['Billie Jean King'],"In the 1973 ""Battle of the Sexes"" match, Billie Jean King won against Bobby Riggs",1,,
ty36AvWsFskb,what hotel was the las vegas shooting in,['Mandalay Bay hotel'],The Las Vegas shooting took place at the Route 91 Harvest music festival on the Las Vegas Strip in the Mandalay Bay hotel,1,,
14j6zs9MlJ7p,who sang the james bond theme song live and let die,['Wings'],"Paul McCartney and Wings sang the James Bond theme song ""Live and Let Die""",1,,
YxKAJQURoa9b,who played gibbs in pirates of the caribbean,['Kevin Robert McNally'],Kevin Robert McNally played the character of Joshamee Gibbs in the Pirates of the Caribbean film series,1,,
W23TA6jhOvdq,which books of the bible are written in aramaic,['DanielEzra'],The books of the Bible that are written in Aramaic are:,1,,
hPKOzvvqBtwR,what is the accent over the i in spanish called,['acute accent'],"The accent over the ""i"" in Spanish is called a tilde",1,,
0mtYbLhbwwbu,who wrote the song be still and know i am,['Kelly ClarksonAben Eubanks'],"The song ""Be Still"" was written by Kelly Clarkson and Aben Eubanks",1,,
3LmCdwD5YOGK,where did serena van der woodsen go to college,['Columbia'],Serena van der Woodsen attended the prestigious Constance Billard School in New York City,0,,
jWMqhHPRF7nQ,who wrote the lyrics to the first time ever i saw your face,['British political singer/songwriter Ewan MacColl'],"The lyrics to ""The First Time Ever I Saw Your Face"" were written by British political singer-songwriter Ewan MacColl for Peggy Seeger, who later became his wife. The song was first performed by the couple in folk clubs around Britain in the 1950s",1,,
9Kb98cMxaSvA,who came first in the great north run,['Mo Farah'],"The first Great North Run was staged on 28 June 1981, when 12,000 runners participated",0,,
MLd2XozzEbHz,who plays the blackfish in game of thrones,['Clive Russell'],"Clive Russell plays the role of Brynden ""The Blackfish"" Tully in the HBO series Game of Thrones",1,,
rLTSoYrQqfvj,when did the us buy land from mexico,['1848'],"The United States bought land from Mexico in the Treaty of Guadalupe Hidalgo, which was signed on February 2, 1848. This treaty officially ended the Mexican-American War and transferred a significant amount of land from Mexico to the United States",1,,
DxEwJQmh7qLD,who played drusilla in once upon a time,['Adelaide Kane'],"Adelaide Kane played Drizella, one of Cinderella's wicked stepsisters, in Once Upon a Time",1,,
r2dPKx2DChDC,who plays shane's dad on the l word,['Eric Roberts'],"Eric Roberts plays Shane's father, Gabriel McCutcheon, on the L Word",1,,
OUqJ8P7ClbVU,calcutta was capital of british till which year,['1911'],Calcutta was the capital of British India until 1911,1,,
V4X2eVKRiekI,when did the old jason leave general hospital,['2012'],"The old Jason, played by Billy Miller, left General Hospital in 2014",0,,
jA5LuEk01icl,why are birds such as kiwi and penguin unable to fly,['through evolution'],"Birds like kiwi and penguins are unable to fly due to the evolution of flightlessness. Over time, these birds have lost the ability to fly as they adapted to their specific environments and habitats",1,,
NaAN7TnZyJo6,what is the final battle of the civil war,['The Battle of Palmito Ranch'],"The final battle of the American Civil War is considered to be the Battle of Palmito Ranch, which took place on May 12 and 13, 1865, in Texas. This battle is often referred to as the last land battle fought between the North and the South. However, some",1,,
lUE4N3xdn1m9,who wrote the song i would rather go blind,['Ellington Jordan'],"The song ""I'd Rather Go Blind"" was written by Ellington Jordan and co-credited to Billy Foster. However, Etta James, who is the artist who recorded the song, wrote in her autobiography that she heard the song outlined by her friend Ellington ""Fugi"" Jordan when she visited him",1,,
2QHUkSTZxUbS,what is the name of the sword the danes give beowulf,['Hrunting'],The name of the sword that the Danes give Beowulf is Hrunting,1,,
2QMdlfFVXQUh,when was the old testament translated into greek,['3rd–1st centuries BC'],"The Old Testament was translated into Greek in the 3rd and 1st centuries BC, as part of the Septuagint (LXX)",1,,
DTlbcXeOAsT2,who is widely recognized as the first forensic accountant,['Scotland'],"The first person widely recognized as the first forensic accountant is Luca Pacioli, also known as The Father of accounting and bookkeeping. He was the first person to publish a work on double-entry bookkeeping and introduced the field in Italy",0,,
D0IH4jWNJmfk,the initial structure for british bomb disposal parties in 1939 was composed of,"['ten sections, each section having a bomb disposal officer and 14 other ranks to assist']",The initial structure for British bomb disposal parties in 1939 was composed of Royal Air Force or Air Raid Precautions personnel,0,,
6WPIXtT78iwH,what type of book is the kite runner,['novel'],The Kite Runner is a novel. It is a work of fiction written by Afghan-American author Khaled Hosseini,1,,
KyntekXv2zld,when did bmw 5 series change body style,"['The wagon/estate body style (called ""Touring"") was added in 1991 and the 5-door fastback (called ""Gran Turismo"") was added in 2009']","The BMW 5 Series changed body style from 1990 to 1996. The E34 was the third generation of the 5 Series, and it was launched in the sedan body style, with the range expanded in 1990 to include the ""Touring""",0,,
CaVDAv6ImV6p,who has the most mlb wins in a row,['Cleveland Indians'],"The 1916 New York Giants hold the record for the most MLB wins in a row, with a streak of 26 consecutive wins",0,,
QROaFewY5XkA,who set the fires in little fires everywhere,['Izzy'],"In the novel ""Little Fires Everywhere"" by Celeste Ng, it is revealed that Izzy, the sister of Mia and Pearl, set the fires on their beds",1,,
uFLWojMPYoT5,where was the world cup trophy found in 1966,"['at the bottom of a suburban garden hedge in Beulah Hill, Upper Norwood, South London']","The World Cup trophy was found in Beulah Hill, Upper Norwood, South London, on March 27, 1966, just seven days after it was stolen",1,,
8PsESVQXwTvM,when did season 2 of atlanta come out,"['March 1, 2018']","Season 2 of Atlanta premiered on March 1, 2018",1,,
IaDG2i9EHY9c,how many cards in hand magic the gathering,['seven'],"In Magic: The Gathering, each player starts with a hand of 7 cards",1,,
gGB5ozHnoimH,who compiled the first list of national roads,['John J. Pershing'],"The first list of national roads was compiled by General John J. Pershing, former head of the American Expeditionary Force in Europe during the war, in 1922. He submitted a detailed network of 20,000 miles (32,000 km) of interconnected primary",1,,
3YP6yeKjY1io,who played mike tv in willy wonka 2005,['Paris Themmen'],Peter Gardner Ostrum played Mike Teevee in the 2005 remake of Willy Wonka & the Chocolate Factory,0,,
dnQrzn8tvqmE,what is the cause of smog in china,['the burning of fossil fuels'],"The cause of smog in China is primarily due to the burning of fossil fuels, such as coal, in power plants and vehicles, which releases particulate matter (PM) into the atmosphere. Additionally, the immense urban growth of Chinese cities has led to the burning of fossil fuels for energy, resulting in smog. Furthermore, the",1,,
xQ89XgXGhWcB,why do we celebrate harvest festival in india,['Ample food and freedom from the necessity to work in the fields'],"Harvest Festival is celebrated in India to mark the end of the harvest season and to express gratitude for the bounty of nature. The festival is also a time for family gatherings, feasting, and giving thanks for the harvest. It is a time to celebrate the fruits of the land and to honor the farmers who work hard",1,,
ohritaHU9esJ,which country will host the summer olympics in 2020,['Tokyo'],The 2020 Summer Olympics will be hosted by Japan,1,,
R15JfYH1OXgM,when does the regular season for football start,"['September 7, 2017']","The regular season for the 2017 NFL season starts on September 7, 2017",1,,
GHeG6yWVFSkg,who did massachusetts send to london to negotiate the legality of their charter,['Increase Mather'],Massachusetts sent Increase Mather to London to negotiate the legality of their charter,1,,
EiWtweyjkBsr,when do you see darth vader's face,['Return of the Jedi'],"Darth Vader's face is first seen in the 1983 film ""The Empire Strikes Back.""",0,,
8TReDuIfsiSn,how much horsepower does a 2005 chrysler 300c have,['340'],The 2005 Chrysler 300C has a standard 3.5-liter V6 engine that produces 220 horsepower (164 kW),0,,
HosQyjVFGkiq,what did rhea give cronus to eat in place of their youngest son,"['a stone wrapped in swaddling clothes, also known as the Omphalos Stone']","According to the information provided, Rhea secretly gave Cronus a stone wrapped in swaddling clothes, also known as the Omphalos Stone, which he promptly swallowed, thinking that it was his son Zeus. This stone was meant to replace their youngest son, Zeus, who was born in Crete",1,,
lhCtFEhQmabf,total number of state bank of india branches,"['more than 24,000']","Based on the information provided, the total number of State Bank of India (SBI) branches in India is 18,354",1,,
lAW9JNenLYP8,where did the first america's cup take place,['Isle of Wight in England'],"The first America's Cup took place on 22 August 1851 in England, specifically around the Isle of Wight. The race was won by the schooner America",1,,
SDJ9TG56ifSt,when did the battle of vimy ridge happen,['9 to 12 April 1917'],The Battle of Vimy Ridge took place from 9 to 12 April 1917 during the First World War,1,,
KBvW5eU78LIS,who played archie bunker on all in the family,"[""John Carroll O'Connor""]",John Carroll O'Connor played the role of Archie Bunker on the popular television sitcom All in the Family,1,,
BNnTvNUhkysU,when did cake by the ocean come out,"['September 18, 2015']","""Cake by the Ocean"" was released on September 18, 2015, and to radio on September 29, 2015 through Republic Records",1,,
BJx2fkFoEo1g,the constitutional amendment limiting the president to only two elected terms is the,['22nd Amendment'],"The constitutional amendment limiting the President to only two elected terms is the 22nd Amendment of the United States Constitution. It was proposed by the 80th Congress in March 1947 and ratified by the required 36 states on February 27, 1951. This amendment",1,,
WRnVrl7dPVWi,what nfl team does jj watt's brother play for,['Los Angeles ChargersPittsburgh Steelers'],"J.J. Watt's brother, T.J. Watt, plays for the Pittsburgh Steelers",1,,
WuEyAXcRhhWb,who sings i told you so country song,['American country music singer Randy Travis'],"Randy Travis sings the song ""I Told You So"" in the country song",1,,
tzdWTt73w1d0,who told umbridge about dumbledore's army in the book,['Marietta Edgecombe'],"In the Harry Potter series, it is not explicitly stated who told Umbridge about Dumbledore's Army. However, based on the information provided, it is likely that it was either Harry, Ron, or Hermione who informed her about the group",0,,
8Du8notayj0z,what did the voyager 2 discover about neptune,"['the ""Great Dark Spot""']","Voyager 2 discovered the ""Great Dark Spot"" on Neptune, which is a large, anticyclonic storm on the planet's southern hemisphere. This storm is similar to Jupiter's Great Red Spot, but it is much larger and more complex. The Great Dark Spot was first observed by Voyager 2 in",1,,
ddkaZ4juGrdm,what are the names of the american pickers,['Mike WolfeFrank Fritz'],The names of the American Pickers are Mike Wolfe and Frank Fritz,1,,
5QHOMet6OlZY,quantitative easing refers to the process whereby the federal reserve,['buys predetermined amounts of government bonds or other financial assets in order to stimulate the economy and increase liquidity'],"Quantitative easing refers to the process whereby the Federal Reserve, the central bank of the United States, buys predetermined amounts of government bonds or other financial assets in the open market from commercial banks and other financial institutions. This action increases the excess reserves that banks hold, which in turn can facilitate an expansion of private bank lending",1,,
nByyDx5ySIqz,who plays the clown in it 2017 cast,['Bill Skarsgård'],"The 2017 film ""It"" features a diverse cast of actors, but the main characters are portrayed by the following actors:",1,,
ir3TsjpBh0ul,what are the names of the tweenies characters,['BellaMiloFizzJakeMaxJudyDoodlesIzzles'],The names of the Tweenies characters are:,1,,
jEjiuDKlQYDN,how many miles out is considered international waters,['12 nautical miles'],"International waters are typically considered to be 12 nautical miles (22.2 km; 13.8 mi) from the baseline of a coastal state, as defined by the 1982 United Nations Convention on the Law of the Sea. This is the area where a state has limited control for",1,,
1hCz95oP2mcC,who plays mantis in the guardians of the galaxy,['Pom Klementieff'],Klementieff plays the role of Mantis in the film Guardians of the Galaxy Vol. 2 (2017),1,,
mVmgxD9UUyJV,who won first gold medal in olympic for india,['India national field hockey team'],Abhinav Bindra won the first gold medal in the Olympic Games for India in the Men's 10m Air Rifle event at the 2008 Beijing Olympics,0,,
OeP2I0RzgdS0,who played clarice starling in silence of the lambs,['Jodie Foster'],"In the film adaptation of The Silence of the Lambs, Clarice Starling was played by Jodie Foster",1,,
fjJMsk9tHttk,who is next in line for the british thrown,"['Charles, Prince of Wales']","Based on the information provided, the next in line for the British throne is Prince William, Duke of Cambridge, the son of the Queen's eldest son, Prince Charles, Prince of Wales",0,,
F3WdVqtyBy4q,when did they put gates on downing street,['1989'],The barriers were erected at the St James's Park end of the street for the unveiling of the Cenotaph on 11 November 1920. This event took place before the construction of the current gates on Downing Street,0,,
FxHUrHh0tfXS,where was the shape of water movie filmed,"['Toronto and Hamilton, Ontario']","The Shape of Water was filmed in Toronto and Hamilton, Ontario, and in Baltimore, Maryland",1,,
jFpOTGREvZWZ,who is ellaria sand on game of thrones,['Indira Varma'],"Ellaria Sand is a fictional character in the A Song of Ice and Fire series of high fantasy novels by George R. R. Martin and its television adaptation, Game of Thrones. She is portrayed by the British actress Indira Varma in the TV show. Ellaria is a bastard from Dorne but is",1,,
qDtdbxNu3Q4p,what body of water is located west of florida,['the Gulf of Mexico'],The body of water located west of Florida is the Gulf of Mexico,1,,
w7idirinhbPZ,when did the evacuations from dunkirk beach happen,['between 26 May and 4 June 1940'],"The evacuations from Dunkirk began on the first day of the Battle of France, which started on 10 May 1940. The evacuation continued until the end of the Battle of France, which lasted until 4 June 1940. The largest number of evacuations occurred between",1,,
Q3P5K3XfKB1E,who is the dancer on thinking out loud,['Brittany Cherry'],"The dancer on ""Thinking Out Loud"" is Brittany Cherry. She is a contestant from the televised American dance competition, So You Think You Can Dance, and she performs a ballroom dance with Ed Sheeran in the video",1,,
FBksv897FERZ,who abolished monarchy in france and declared it a republic,['National Convention of France'],"The proclamation of the abolition of the monarchy and the declaration of the First French Republic was made by the National Convention of France on 21 September 1792. Jean-Marie Collot d'Herbois, a député for Paris, proposed the abolition of the monarchy, and the decision was",1,,
66OoDXkZXb6v,there will be blood why did hw set fire,['to kill Henry'],"Based on the information provided, H. W. set fire to Daniel's house in order to kill Henry, his half-brother. This was done because H. W. was angry with Daniel for sending Henry away to a school for the deaf in San Francisco, and he wanted to punish him for his behavior",1,,
bmOHnKYaXRvj,movie where guy can't make new memories,['Memento'],"The movie where Guy can't make new memories is ""Memento."" In the film, the protagonist, Leonard Shelby, suffers from anterograde amnesia, which prevents him from forming new memories. He uses an intricate system of Polaroid photographs and tattoos to track information he cannot remember. The film is",1,,
s7e9w06K3rx0,when did the first episode of days of our lives air,"['November 8, 1965']","The first episode of Days of Our Lives aired on March 25, 1968, on the Nine Network",0,,
vNU0J8XZyZ29,who wrote o brother where art thou soundtrack,['the Coen Brothers'],"The O Brother, Where Art Thou? soundtrack was written by the Coen Brothers, Ethan and Joel. They are the writers, directors, and producers of the film",1,,
PAV9STLTkqAG,when was joseph and the technicolor dreamcoat written,['1967'],Joseph and the Amazing Technicolor Dreamcoat was written in 1969,0,,
WoHcdIMCbaND,where do you put the stickers on ohio license plates,['sticker placed at the bottom right corner'],The stickers with the county number are placed on the lower left corner of both the front and rear plates of Ohio license plates. The county number is displayed in small print below the number,0,,
aE57igRpYv8H,where was mamma mia here we go agsin filmed,"['in Croatia, including the island of VisShepperton Studios in Surrey, England']","Mamma Mia! Here We Go Again was filmed in Croatia and at Shepperton Studios in Surrey, England",1,,
